Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1997,Gross Imp.,1,48289886.48
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1997,Import,5,48289886.48
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1998,Export,6,45495633.17
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1998,Gross Exp.,2,45495633.17
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1998,Gross Imp.,1,51622512.08
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1998,Import,5,51622512.08
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Export,6,43324646.07
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Gross Exp.,2,43324646.07
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Gross Imp.,1,50249032.51
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Import,5,50249032.51
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Export,6,45329888.54
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Gross Exp.,2,45329888.54
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Gross Imp.,1,50350605.61
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Import,5,50350605.61
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Export,6,47140553.11
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Gross Exp.,2,47140553.11
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Gross Imp.,1,51901616.99
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Import,5,51901616.99
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Export,6,51647093.36
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Gross Exp.,2,51647093.36
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Gross Imp.,1,54229012.03
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Import,5,54229012.03
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Export,6,63367594.83
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Gross Exp.,2,63367594.83
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Gross Imp.,1,68719038.08
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Import,5,68719038.08
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Export,6,78223435.84
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Gross Exp.,2,78223435.84
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Gross Imp.,1,85425530.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Import,5,85425530.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Export,6,82848585.28
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Gross Exp.,2,82848585.28
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Gross Imp.,1,89538367.22
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Import,5,89538367.22
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Export,6,94459836.32
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Gross Exp.,2,94459836.32
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Gross Imp.,1,99239923.58
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Import,5,99239923.58
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Export,6,109747799.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Gross Exp.,2,109747799.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Gross Imp.,1,113977812.5
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Import,5,113977812.5
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Export,6,120916497.1
